artsid;artsnavn;klassifikation
2005;Halsbåndstroldand x Troldand (hybrid);Alm
2020;Hvidøjet And;SUB
2028;Hvidøjet And x Troldand (hybrid);Alm
2029;Hvidøjet And x Taffeland (hybrid);Alm
2030;Troldand;Alm
2038;Troldand/Bjergand;Alm
2039;Troldand x Bjergand (hybrid);Alm
2040;Bjergand;Alm
2050;Lille Bjergand;SU
2051;Lille Bjergand x Troldand (hybrid);Alm
2058;Dykand hybrid;Alm
2059;Dykand sp. (Aythya sp.);Alm
2060;Ederfugl;Alm
2063;Ederfugl, Arktisk (ssp. borealis);SU
2070;Kongeederfugl;SUB
2078;Kongeederfugl x Ederfugl (hybrid);Alm
2090;Stellersand;SU
2120;Havlit;Alm
2130;Sortand;Alm
2132;Amerikansk Sortand;SUB
2140;Brilleand;SUB
2150;Fløjlsand;Alm
2152;Asiatisk Fløjlsand;SU
2153;Amerikansk Fløjlsand;SU
2160;[Bøffeland];Alm
2180;Hvinand;Alm
2189;Hvinand x Lille Skallesluger (hybrid);Alm
2190;[Hjelmskallesluger];Alm
2200;Lille Skallesluger;Alm
2210;Toppet Skallesluger;Alm
2218;Toppet Skallesluger/Stor Skallesluger;Alm
2230;Stor Skallesluger;Alm
2239;Skallesluger sp.;Alm
2250;Amerikansk Skarveand;SU
2260;Hvidhovedet And;SU
2265;Amerikansk Skarveand x Hvidhovedet And (hybrid);Alm
2268;Havdykand sp. (Mergini);Alm
2269;Andefugl sp.;Alm
2270;[Kalkungrib];Alm
2310;Hvepsevåge;Alm
2320;Tophvepsevåge;SU
2350;Blå Glente;SU
2380;Sort Glente;SUB
2382;[Sort Glente, Gulnæbbet (ssp. parasitus)];Alm
2388;Sort Glente/Rød Glente;Alm
2389;Sort Glente x Rød Glente (hybrid);Alm
2390;Rød Glente;Alm
2430;Havørn;Alm
2440;[Hvidhovedet Havørn];Alm
2450;[Beringhavørn];Alm
2460;[Lammegrib];SU
2470;Ådselgrib;SU
2510;Gåsegrib;SU
2530;[Rüppells Grib];Alm
2550;[Munkegrib];Alm
2559;Grib sp.;Alm
2560;Slangeørn;SU
2600;Rørhøg;Alm
2610;Blå Kærhøg;Alm
2615;Amerikansk Kærhøg;SU
2619;Blå Kærhøg x Steppehøg (hybrid);Alm
2620;Steppehøg;SUB
2629;Steppehøg/Hedehøg;Alm
2630;Hedehøg;Alm
2649;Kærhøg sp.;Alm
2670;Duehøg;Alm
2672;Duehøg, Russisk (ssp. buteoides);SU
2690;Spurvehøg;Alm
2749;Høg sp.;Alm
2870;Musvåge;Alm
2872;Musvåge, Steppevåge (ssp. vulpinus);SU
2880;Ørnevåge;SU
2900;Fjeldvåge;Alm
2919;Våge sp.;Alm
2920;Lille Skrigeørn;SUB
2929;Lille Skrigeørn/Stor Skrigeørn;Alm
2930;Stor Skrigeørn;SU
2945;Steppeørn;SU
2950;Kejserørn;SU
2960;Kongeørn;SUB
2979;Ørn sp.;Alm
2980;Dværgørn;SU
2990;Høgeørn;SU
3010;Fiskeørn;Alm
3030;Lille Tårnfalk;SU
3040;Tårnfalk;Alm
3050;Amerikansk Tårnfalk;SU
3070;Aftenfalk;SUB
3090;Dværgfalk;Alm
3100;Lærkefalk;Alm
3109;Lærkefalk/Aftenfalk;Alm
3110;Eleonorafalk;SU
3140;[Lannerfalk];Alm
3160;Slagfalk;SU
3180;Jagtfalk;SU
3189;Storfalk sp.;Alm
3200;Vandrefalk;Alm
3205;Vandrefalk, Sibirisk (ssp. calidus);SU
3219;Falk sp.;Alm
