artsid;artsnavn;content
07960;Gråsejler;0
16630;Gråsisken;1
16632;Gråsisken, Grønlandsk (ssp. rostrata);0
16640;Gråsisken, Hvidsisken (ssp. exilipes);0
16635;Gråsisken, Lille (ssp. cabaret);0
16634;Gråsisken, Nordlig (ssp. flammea);0
15910;Gråspurv;1
15988;Gråspurv/Skovspurv;0
15989;Gråspurv x Skovspurv (hybrid);0
11950;Gråstrubet Drossel;0
00100;Gråstrubet Lappedykker;1
05960;Gråvinget Måge;0
13350;Grå Fluesnapper;1
01659;Grå Gås sp.;0
18710;Gulbrynet Værling;0
18760;Gulbrystet Værling;0
12590;Gulbug;1
11700;Gulddrossel;0
03960;[Guldfasan];0
08500;Guldspætte;0
18650;Gulgrå Værling;0
16400;Gulirisk;1
07280;Gulnæbbet Gøg;0
18570;Gulspurv;1
17330;Gul Sanger;0
10170;Gul Vipstjert;1
10179;Gul Vipstjert, Almindelig x Gulhovedet (hybrid);0
10172;Gul Vipstjert, Gulhovedet (ssp. flavissima);0
10173;Gul Vipstjert, Nordlig (ssp. thunbergi);0
10174;Gul Vipstjert, Sorthovedet (ssp. feldegg);0
10171;Gul Vipstjert (ssp. flava);0
12740;Gærdesanger;1
12747;Gærdesanger, Sibirisk/Steppe (ssp. blythi/halimodendri);0
12742;Gærdesanger, Sibirisk (ssp. blythi);0
12739;Gærdesanger, Steppe (ssp. halimodendri);0
10660;Gærdesmutte;1
10669;Gærdesmutte, Nordatlantisk (fridariensis/hirtensis/borealis);0
18580;Gærdeværling;0
07240;Gøg;1
02510;Gåsegrib;0
01709;Gås sp.;0
14370;Halemejse;1
14371;Halemejse, Nordlig (ssp. caudatus);0
14374;Halemejse, Sydlig (ssp. europaeus);0
02000;Halsbåndstroldand;0
02005;Halsbåndstroldand x Troldand (hybrid);0
02268;Havdykand sp. (Mergini);0
12760;Havesanger;1
02120;Havlit;1
06160;Havterne;1
02430;Havørn;1
02630;Hedehøg;1
09740;Hedelærke;1
01259;Hejre sp.;0
01219;Hejre sp. (hvid);0
01420;[Hellig Ibis];0
13005;Himalayasanger;0
04850;Hjejle;1
02190;[Hjelmskallesluger];0
18660;Hortulan;1
06680;Huldue;1
11210;Husrødstjert;1
11215;Husrødstjert, Tien-Shan (ssp. phoenicuroides);0
15490;Husskade;1
02310;Hvepsevåge;1
13000;Hvidbrynet Løvsanger;1
04770;Hvidbrystet Præstekrave;1
13480;Hvidhalset Fluesnapper;1
13489;Hvidhalset Fluesnapper x Broget Fluesnapper (hybrid);0
02260;Hvidhovedet And;0
02440;[Hvidhovedet Havørn];0
18560;Hvidkindet Værling;0
05480;Hvidklire;1
18390;Hvidkronet Spurv;0
11570;Hvidkronet Stenpikker;0
00050;Hvidnæbbet Lom;1
05050;Hvidrygget Ryle;0
06260;Hvidskægget Terne;0
18400;Hvidstrubet Spurv;0
16650;Hvidvinget Korsnæb;1
05980;Hvidvinget Måge;1
05982;Hvidvinget Måge, Baffinmåge (ssp. kumlieni);0
05983;Hvidvinget Måge, Inuitmåge (ssp. thayeri);0
05981;Hvidvinget Måge (ssp. glaucoides);0
06280;Hvidvinget Terne;1
02020;Hvidøjet And;1
02029;Hvidøjet And x Taffeland (hybrid);0
02028;Hvidøjet And x Troldand (hybrid);0
00880;[Hvid Pelikan];0
01340;Hvid Stork;1
10200;Hvid Vipstjert;1
10202;Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii);0
10201;Hvid Vipstjert (ssp. alba);0
02180;Hvinand;1
02189;Hvinand x Lille Skallesluger (hybrid);0
24998;Hybrid sp.;0
08460;Hærfugl;1
05820;Hættemåge;1
18810;Hætteværling;0
12730;Høgesanger;1
07500;Høgeugle;1
02990;Høgeørn;0
02749;Høg sp.;0
15470;[Iberisk Blåskade];0
13116;Iberisk Gransanger;0
12656;Iberisk Sanger;0
18920;[Indigofinke];0
01620;Indisk Gås;1
01627;Indisk Gås X Bramgås (hybrid);0
