artsnavn;bemaerk_antal
Gulspurv;50
Gås sp.;10000
Gåsegrib;1
Gærdesanger;5
Gærdesanger, Sibirisk (ssp. blythi);1
Gærdesanger, Sibirisk/Steppe (ssp. blythi/halimodendri);1
Gærdesanger, Steppe (ssp. halimodendri);1
Gærdesmutte;25
Gærdesmutte, Nordatlantisk (fridariensis/hirtensis/borealis);1
Gærdeværling;1
Gøg;5
Halemejse;11
Halemejse, Nordlig (ssp. caudatus);11
Halemejse, Sydlig (ssp. europaeus);11
Halsbåndstroldand;1
Halsbåndstroldand x Troldand (hybrid);1
Havdykand sp. (Mergini);2500
Havesanger;5
Havlit;25
Havterne;10
Havørn;1
Hedehøg;1
Hedelærke;1
Hejre sp.;40
Hejre sp. (hvid);1
Hellig Ibis;1
Himalayasanger;1
Hjejle;2000
Hjelmskallesluger;1
Hortulan;1
Huldue;5
Huskrage;1
Husrødstjert;3
Husrødstjert, Tien-Shan (ssp. phoenicuroides);1
Husskade;50
Hvepsevåge;3
Hvid Pelikan;1
Hvid Stork;1
Hvid Vipstjert;25
Hvid Vipstjert (ssp. alba);25
Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii);1
Hvidbrynet Løvsanger;1
Hvidbrystet Præstekrave;10
Hvidhalset Fluesnapper;1
Hvidhalset Fluesnapper x Broget Fluesnapper (hybrid);1
Hvidhovedet And;1
Hvidhovedet Havørn;1
Hvidkindet Værling;1
Hvidklire;25
Hvidkronet Spurv;1
Hvidkronet Stenpikker;1
Hvidnæbbet Lom;1
Hvidrygget Ryle;1
Hvidskægget Terne;1
Hvidstrubet Spurv;1
Hvidvinget Korsnæb;1
Hvidvinget Måge;1
Hvidvinget Måge (ssp. glaucoides);1
Hvidvinget Måge, Baffinmåge (ssp. kumlieni);1
Hvidvinget Måge, Inuitmåge (ssp. thayeri);1
Hvidvinget Terne;1
Hvidøjet And;1
Hvidøjet And x Taffeland (hybrid);1
Hvidøjet And x Troldand (hybrid);1
Hvinand;200
Hvinand x Lille Skallesluger (hybrid);1
Hybrid sp.;1
Hærfugl;1
Hættemåge;1000
Hætteværling;1
Høg sp.;1
Høgesanger;1
Høgeugle;1
Høgeørn;1
Iberisk Blåskade;1
Iberisk Gransanger;1
Iberisk Sanger;1
Indigofinke;1
Indisk Gås;1
Indisk Gås X Bramgås (hybrid);1
Indisk Gås X Canadagås (hybrid);1
Indisk Gås X Grågås (hybrid);1
Isabellastenpikker;1
Isfugl;1
Islandsk Ryle;250
Islandsk Ryle, Baffinryle (ssp. islandica);250
Islandsk Ryle, Sibirisk (ssp. canutus);250
Islandsk Ryle/Lille Kobbersneppe;500
Islom;1
Islom/Hvidnæbbet Lom;1
Ismåge;1
Jagtfalk;1
Japansk Trane;1
Jernspurv;25
Jomfrutrane;1
Kaffersejler;1
Kalanderlærke;1
Kalkungrib;1
Kanariefugl;1
Kaneland;1
Karmindompap;1
Kaspisk Måge;1
Kaspisk Præstekrave;1
Kejsergås;1
Kejserørn;1
Kernebider;5
Kirkeugle;1
Kjove sp.;1
Klippedue (tamdue);200
Klippesvale;1
Klippeværling;1
Klireryle;1
Klyde;500
Knarand;20
Knopsvane;100
Knortegås;400
Knortegås x Rødhalset Gås (hybrid);1
Knortegås, Lysbuget (ssp. hrota);1
Knortegås, Mørkbuget (ssp. bernicla);400
Knortegås, Mørkbuget x Sortbuget (hybrid);1
Knortegås, Sortbuget (ssp. nigricans);1
Kohejre;1
Kongeederfugl;1
Kongeederfugl x Ederfugl (hybrid);1
Kongefasan;1
Kongeørn;1
Korsnæb sp.;25
Kortnæbbet Gås;500
Korttået Lærke;1
Korttået Træløber;5
Krage;100
Krage, Gråkrage (ssp. cornix);20
Krage, Sortkrage (ssp. corone);15
Kragefugl sp.;500
Krikand;250
Krikand x Amerikansk Krikand (hybrid);1
Krikand x Gråand (hybrid);1
Krikand, Amerikansk (ssp. carolinensis);1
Krognæb;1
Krumnæbbet Ryle;10
Krøltoppet Pelikan;1
Kvækerfinke;500
Kærhøg sp.;5
Kærløber;1
Kærsanger;5
Lammegrib;1
Landsvale;200
Landsvale x Bysvale (hybrid);1
Landsvale, Libanonlandsvale (ssp. transitiva);1
Langhalet Rosenfinke;1
Langhalet Tornskade;1
Langnæbbet Sneppeklire;1
Lannerfalk;1
Lappedykker sp.;75
Lapværling;1
Lapværling/Snespurv;1
Lattermåge;1
Lille Bjergand;1
Lille Bjergand x Troldand (hybrid);1
Lille Flagspætte;1
Lille Flagspætte, Nordlig (ssp. minor);1
Lille Flagspætte, Sydlig (ssp. hortorum);1
Lille Flamingo;1
Lille Fluesnapper;1
Lille Gulben;1
Lille Gulbug;1
Lille Kjove;1
Lille Kobbersneppe;500
Lille Korsnæb;20
Lille Korsnæb/Stor Korsnæb;20
Lille Lappedykker;25
Lille Præstekrave;1
Lille Rørsanger;1
Lille Rørvagtel;1
Lille Sejler;1
Lille Skallesluger;10
Lille Skrigeørn;1
Lille Skrigeørn/Stor Skrigeørn;1
Lille Stormsvale;1
Lille Sultanhøne;1
Lille Tårnfalk;1
Lom sp.;2
Lomvie;1
Lomvie, Arktisk (ssp. hyperborea);1
Lomvie, Britisk (ssp. albionis);1
Lomvie, Nordlig (ssp. aalge);1
Lomvie/Alk;1
Lunde;1
Lundsanger;1
Lærke sp.;50
Lærkefalk;1
Lærkefalk/Aftenfalk;1
Løvsanger;20
Løvsanger, Almindelig (ssp. trochilus);1
Løvsanger, Nordlig (ssp. acredula);1
Madeira/Kap Verde/Desertas Petrel;1
Magellangås;1
Makaronesisk Skråpe;1
Makisanger;1
Mallemuk;1
Manchurernattergal;1
Mandarinand;2
Markpiber;1
Marmorand;1
Mejse sp.;100
Mellemflagspætte;1
Mellemkjove;1
Mellemkjove/Almindelig Kjove;1
Middelhavsskråpe;1
Middelhavsskråpe, Balearisk (ssp. mauretanicus);1
Middelhavsskråpe, Ægæerskråpe (ssp. yelkouan);1
Middelhavsskråpe/Almindelig Skråpe;1
Middelhavssølvmåge;1
Misteldrossel;10
Mongolsk Piber;1
Mosehornugle;1
Moseterne sp.;1
Moskusand;2
Mudderklire;5
Munk;25
Munkegrib;1
Munkeparakit;1
Mursejler;50
Musvit;50
Musvåge;100
Musvåge, Steppevåge (ssp. vulpinus);1
Måge sp.;1000
Mørkøjet Junco;1
Nathejre;1
Natravn;1
Nattergal;3
Nattergal/Sydlig Nattergal;1
Natugle;3
Nilgås;10
Nonnestenpikker;1
Nordisk Lappedykker;1
Nordisk Lappedykker/Sorthalset Lappedykker;1
Nordlig Halemejse x Sydlig Halemejse (hybrid);20
Nordsanger;1
Ny fugleart for landet;1
Nymfeparakit;1
Nøddekrige;1
Nøddekrige, Tyknæbbet (ssp. caryocatactes);1
Nøddekrige, Tyndnæbbet (ssp. macrorhynchos);1
Odinshane;1
Odinshane/Thorshane;1
Olivenskovdrossel;1
Orientbraksvale;1
Orientsejler;1
Papegøje sp.;1
Pelikan sp.;1
Perleugle;1
Phylloscopus sp.;20
Pibeand;1000
Pibeand x Chilepibeand (hybrid);1
Pibeand x Gråand (hybrid);1
Pibeand x Knarand (hybrid);1
Pibeand x Krikand (hybrid);1
Pibeand/Spidsand;1000
Piber sp.;250
Pibesvane;25
Pibesvane/Sangsvane;200
Pileværling;1
Pirol;1
Plettet Mudderklire;1
Plettet Rørvagtel;1
Polarlomvie;1
Pomeransfugl;1
Pragtfregatfugl;1
Prærieløber;1
Præriemåge;1
Prærietrane;1
Pungmejse;1
Purpurhejre;1
Påfugl;1
Rajgås sp.;10000
Ravn;15
Ride;1
Ringdrossel;1
Ringdue;500
Ringnæbbet Måge;1
Rosapelikan;1
Rosenbrystet Kernebider;1
Rosenbrystet Tornskade;1
Rosenfinke;1
Rosenmåge;1
Rosenstær;1
Rosenterne;1
Rovterne;1
Rubinnattergal;1
Rustand;1
Rustand x Gravand (hybrid);1
Ryle sp.;5000
Råge;500
Rød Glente;1
Rødben;100
Rødben (ssp. totanus);100
Rødben, Islandsk (ssp. robusta);10
Rødbrystet Svale;1
Rødhals;50
Rødhalset Gås;1
Rødhalset Natravn;1
Rødhalset Ryle;1
Rødhovedet And;1
Rødhovedet And x Taffeland (hybrid);1
Rødhovedet Tornskade;1
Rødhøne;1
Rødrygget Svale;1
Rødrygget Tornskade;3
Rødstjert;3
Rødstrubet Drossel;1
Rødstrubet Drossel/Sortstrubet Drossel;1
Rødstrubet Lom;5
Rødstrubet Lom/Sortstrubet Lom;2
Rødstrubet Piber;1
Rødstrubet Sanger;1
Rødstrubet Sanger (ssp. albistriata);1
Rødstrubet Sanger (ssp. cantillans);1
Rødstrubet Sanger/Iberisk Sanger/Makisanger;1
Rødtoppet Fuglekonge;1
Rødvinget Braksvale;1
Rødvinget Sortstær;1
Rødøjet Vireo;1
Rørdrum;1
Rørhøg;5
Rørhøne;5
Rørsanger;5
Rørspurv;30
Rørvagtel sp.;1
Rüppells Grib;1
Sabinemåge;1
Sandløber;50
Sandterne;1
Sangdrossel;50
Sangdrossel/Vindrossel;100
Sanger sp.;50
Sanglærke;50
Sangsvane;200
Sardinsk Sanger;1
Savisanger;1
Schwarz Løvsanger;1
Scopolis Skråpe;1
Segland;1
Sejler sp.;1
Sibirisk Allike;1
Sibirisk Bynkefugl;1
Sibirisk Bynkefugl (ssp. maurus);1
Sibirisk Bynkefugl, Bjergbynkefugl (ssp. stejnegeri);1
Sibirisk Bynkefugl, Kaukasusbynkefugl (ssp. hemprichii);1
Sibirisk Bynkefugl, Steppebynkefugl (ssp. variegatus);1
Sibirisk Bynkefugl/Japansk Bynkefugl;1
Sibirisk Hjejle;1
Sibirisk Jernspurv;1
Sibirisk Krikand;1
Sibirisk Præstekrave;1
Sibirisk Vipstjert;1
Sildemåge;30
Sildemåge, Baltisk (ssp. fuscus);1
Sildemåge, Britisk (ssp. graellsii);1
Sildemåge, Nordsøsildemåge (ssp. intermedius);30
Sildemåge, Sibirisk Måge (ssp. heuglini);1
Silkehale;15
Silkehejre;1
Sinkiangløvsanger;1
Sisken sp.;100
Sivsanger;5
Sjagger;500
Sjagger x Solsort (hybrid);1
Skadegøg;1
Skallesluger sp.;50
Skarv;200
Skarv sp.;1
Skarv, Mellemskarv (ssp. sinensis);200
Skarv, Storskarv (ssp. carbo);200
Skeand;25
Skeand x Blåvinget And (hybrid);1
Skeand x Gråand (hybrid);1
Skeand x Knarand (hybrid);1
Skestork;1
Skovhornugle;1
Skovhornugle/Mosehornugle;1
Skovpiber;50
Skovsanger;1
Skovskade;10
Skovsneppe;1
Skovspurv;50
Skråpe sp.;1
Skægmejse;10
Skærpiber;5
Slagfalk;1
Slangeørn;1
Slørugle;1
Slørugle, Hvidbrystet (ssp. alba);1
Slørugle, Mørkbrystet (ssp. guttata);1
Småfugl sp. (Pibere, Finker, Spurve o.lign.);1000
Småspove;5
Snefinke;1
Snegås;1
Snegås x Bramgås (hybrid);1
Sneppeklire sp.;1
Snespurv;25
Sneugle;1
Sodfarvet Skråpe;1
Sodfarvet Terne;1
Soldaterara;1
Solsort;50
Sort Glente;1
Sort Glente x Rød Glente (hybrid);1
Sort Glente, Gulnæbbet (ssp. parasitus);1
Sort Glente/Rød Glente;1
Sort Ibis;1
Sort Stork;1
Sortand;100
Sortbrun And;1
Sortbrynet Albatros;1
Sortgrå Ryle;1
Sorthalset Lappedykker;1
Sorthalset Svane;1
Sorthovedet Måge;1
Sorthovedet Måge x Hættemåge (hybrid);1
Sorthovedet Sanger;1
Sortklire;15
Sortklire/Rødben;100
Sortkrage x Gråkrage (hybrid);25
Sortmejse;10
Sortnæbbet Gøg;1
Sortspætte;1
Sortstrubet Bynkefugl;1
Sortstrubet Bynkefugl, Atlantisk (ssp. hibernans);1
Sortstrubet Bynkefugl, Europæisk (ssp. rubicola);1
Sortstrubet Drossel;1
Sortstrubet Jernspurv;1
Sortstrubet Lom;1
Sortstrubet Sanger;1
Sortsvane;2
Sortterne;5
Sortvinget Braksvale;1
