Artsid,Artsnavn,Latin,Kategori
07700,Perleugle,Aegolius funereus,SUB
07719,Ugle sp.,Strigidae,Alm
07780,Natravn,Caprimulgus europaeus,Alm
07810,Ørkennatravn,Caprimulgus aegyptius,SU
07920,Tornhalesejler,Hirundapus caudacutus,SU
07950,Mursejler,Apus apus,Alm
07960,Gråsejler,Apus pallidus,SU
07970,Orientsejler,Apus pacificus,SU
07980,Alpesejler,Tachymarptis melba,SU
07990,Kaffersejler,Apus caffer,SU
08000,Lille Sejler,Apus affinis,SU
08009,Sejler sp.,Apus sp.,Alm
08310,Isfugl,Alcedo atthis,Alm
08390,Grøn Biæder,Merops persicus,SU
08400,Biæder,Merops apiaster,SUB
08410,Ellekrage,Coracias garrulus,SU
08460,Hærfugl,Upupa epops,SUB
08480,Vendehals,Jynx torquilla,Alm
08560,Grønspætte,Picus viridis,Alm
08630,Sortspætte,Dryocopus martius,Alm
08760,Stor Flagspætte,Dendrocopos major,Alm
08761,Stor Flagspætte, Nordlig (ssp. major),Dendrocopos major major,Alm
08764,Stor Flagspætte, Sydlig (ssp. pinetorum),Dendrocopos major pinetorum,Alm
08769,Stor Flagspætte x Hvidrygget Flagspætte (hybrid),Dendrocopos major x D. leucotos,Alm
08830,Mellemflagspætte,Dendrocoptes medius,SUB
08870,Lille Flagspætte,Dryobates minor,Alm
08871,Lille Flagspætte, Nordlig (ssp. minor),Dryobates minor minor,Alm
08876,Lille Flagspætte, Sydlig (ssp. hortorum),Dryobates minor hortorum,Alm
08980,Tretået Spætte,Picoides tridactylus,SU
09019,Spætte sp.,Picidae,Alm
09620,Østlig Kalanderlærke,Melanocorypha bimaculata,SU
09680,Korttået Lærke,Calandrella brachydactyla,SU
09720,Toplærke,Galerida cristata,SUB
09740,Hedelærke,Lullula arborea,Alm
09760,Sanglærke,Alauda arvensis,Alm
09780,Bjerglærke,Eremophila alpestris,Alm
09799,Lærke sp.,Alaudidae,Alm
09810,Digesvale,Riparia riparia,Alm
09910,Klippesvale,Ptyonoprogne rupestris,SU
09920,Landsvale,Hirundo rustica,Alm
09950,Rødrygget Svale,Cecropis rufula,SUB
09951,Amursvale,Cecropis daurica,SU
10010,Bysvale,Delichon urbicum,Alm
10018,Landsvale x Bysvale (hybrid),Hirundo rustica x Delichon urbicum,Alm
10019,Svale sp.,Hirundinidae,Alm
10020,Storpiber,Anthus richardi,SUB
10040,Mongolsk Piber,Anthus godlewskii,SU
10050,Markpiber,Anthus campestris,SUB
10080,Tajgapiber,Anthus hodgsoni,SU
10090,Skovpiber,Anthus trivialis,Alm
10110,Engpiber,Anthus pratensis,Alm
10120,Rødstrubet Piber,Anthus cervinus,SUB
10135,Skærpiber,Anthus petrosus,Alm
10140,Bjergpiber,Anthus spinoletta,SUB
10144,Bjergpiber/Skærpiber,Anthus spinoletta/A. petrosus,Alm
10159,Piber sp.,Anthus sp.,Alm
10170,Gul Vipstjert,Motacilla flava,Alm
10171,Gul Vipstjert (ssp. flava),Motacilla flava flava,Alm
10172,Gul Vipstjert, Gulhovedet (ssp. flavissima),Motacilla flava flavissima,SUB
10173,Gul Vipstjert, Nordlig (ssp. thunbergi),Motacilla flava thunbergi,Alm
10174,Gul Vipstjert, Sorthovedet (ssp. feldegg),Motacilla flava feldegg,SU
10179,Gul Vipstjert, Almindelig x Gulhovedet (hybrid),Motacilla flava flava x M. f. flavissima,Alm
10180,Citronvipstjert,Motacilla citreola,SUB
10181,Citronvipstjert x Gul Vipstjert (hybrid),Motacilla citreola x M. flava,Alm
10190,Bjergvipstjert,Motacilla cinerea,Alm
10200,Hvid Vipstjert,Motacilla alba,Alm
10201,Hvid Vipstjert (ssp. alba),Motacilla alba alba,Alm
10202,Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii),Motacilla alba yarrellii,SUB
10239,Vipstjert sp.,Motacilla sp.,Alm
10480,Silkehale,Bombycilla garrulus,Alm
10500,Vandstær,Cinclus cinclus,Alm
10660,Gærdesmutte,Troglodytes troglodytes,Alm
10669,Gærdesmutte, Nordatlantisk (fridariensis/hirtensis/borealis),Troglodytes troglodytes ssp. fridariensis/hirtensis/borealis,SU
10840,Jernspurv,Prunella modularis,Alm
10860,Sibirisk Jernspurv,Prunella montanella,SU
10900,Sortstrubet Jernspurv,Prunella atrogularis,SU
10940,Alpejernspurv,Prunella collaris,SU
10990,Rødhals,Erithacus rubecula,Alm
11020,Manchurernattergal,Larvivora sibilans,SU
11030,Nattergal,Luscinia luscinia,Alm
11039,Nattergal/Sydlig Nattergal,Luscinia luscinia/L. megarhynchos,Alm
11040,Sydlig Nattergal,Luscinia megarhynchos,SUB
11050,Rubinnattergal,Calliope calliope,SU
11060,Blåhals,Luscinia svecica,Alm
11061,Blåhals, Nordlig (ssp. svecica),Luscinia svecica svecica,SUB
11062,Blåhals, Sydlig (ssp. cyanecula),Luscinia svecica cyanecula,Alm
11130,Blåstjert,Tarsiger cyanurus,SU
11210,Husrødstjert,Phoenicurus ochruros,Alm
11215,Husrødstjert, Tien-Shan (ssp. phoenicuroides),Phoenicurus ochruros phoenicuroides,SU
11220,Rødstjert,Phoenicurus phoenicurus,Alm
11370,Bynkefugl,Saxicola rubetra,Alm
11379,Bynkefugl x Sortstrubet Bynkefugl (hybrid),Saxicola rubetra x S. rubicola,Alm
11390,Sortstrubet Bynkefugl,Saxicola rubicola,Alm
11391,Sortstrubet Bynkefugl, Europæisk (ssp. rubicola),Saxicola rubicola rubicola,Alm
11392,Sibirisk Bynkefugl, Bjergbynkefugl (ssp. stejnegeri),Saxicola maurus stejnegeri,SU
11393,Sortstrubet Bynkefugl, Atlantisk (ssp. hibernans),Saxicola rubicola hibernans,Alm
11394,Sibirisk Bynkefugl (ssp. maurus),Saxicola maurus maurus,SU
11396,Sibirisk Bynkefugl, Steppebynkefugl (ssp. variegatus),Saxicola maurus variegatus,SU
11397,Sibirisk Bynkefugl, Kaukasusbynkefugl (ssp. hemprichii),Saxicola maurus hemprichii,SU
11399,Sibirisk Bynkefugl,Saxicola maurus,SU
11440,Isabellastenpikker,Oenanthe isabellina,SU
11460,Stenpikker,Oenanthe oenanthe,Alm
11461,Stenpikker (ssp. oenanthe),Oenanthe oenanthe oenanthe,Alm
11462,Stenpikker, Grønlandsk (ssp. leucorhoa),Oenanthe oenanthe leucorhoa,Alm
11470,Nonnestenpikker,Oenanthe pleschanka,SU
11480,Vestlig Middelhavsstenpikker/Østlig Middelhavsstenpikker,Oenanthe hispanica/O. melanoleuca,Alm
11481,Vestlig Middelhavsstenpikker,Oenanthe hispanica,SU
11482,Østlig Middelhavsstenpikker,Oenanthe melanoleuca,SU
11490,Ørkenstenpikker,Oenanthe deserti,SU
11570,Hvidkronet Stenpikker,Oenanthe leucopyga,SU
11620,Stendrossel,Monticola saxatilis,SU
11700,Gulddrossel,Zoothera aurea,SU
11760,Eremitdrossel,Catharus guttatus,SU
11770,Olivenskovdrossel,Catharus ustulatus,SU
11860,Ringdrossel,Turdus torquatus,Alm
11870,Solsort,Turdus merula,Alm
11950,Gråstrubet Drossel,Turdus obscurus,SU
11962,Brundrossel,Turdus eunomus,SU
11970,Rødstrubet Drossel/Sortstrubet Drossel,Turdus ruficollis/T. atrogularis,Alm
11972,Sortstrubet Drossel,Turdus atrogularis,SU
11980,Sjagger,Turdus pilaris,Alm
11989,Sjagger x Solsort (hybrid),Turdus pilaris x T. merula,Alm
12000,Sangdrossel,Turdus philomelos,Alm
12009,Sangdrossel/Vindrossel,Turdus philomelos/T. iliacus,Alm
12010,Vindrossel,Turdus iliacus,Alm
12012,Vindrossel, Islandsk (ssp. coburni),Turdus iliacus coburni,SUB
12020,Misteldrossel,Turdus viscivorus,Alm
12030,Vandredrossel,Turdus migratorius,SU
12069,Drossel sp.,Turdinae,Alm
12200,Cettisanger,Cettia cetti,SU
12260,Cistussanger,Cisticola juncidis,SU
12350,Stribet Græshoppesanger,Locustella lanceolata,SU
12360,Græshoppesanger,Locustella naevia,Alm
12370,Flodsanger,Locustella fluviatilis,SUB
12380,Savisanger,Locustella luscinioides,SUB
12420,Vandsanger,Acrocephalus paludicola,SU
12430,Sivsanger,Acrocephalus schoenobaenus,Alm
12470,Lille Rørsanger,Acrocephalus agricola,SU
12480,Buskrørsanger,Acrocephalus dumetorum,SUB
12500,Kærsanger,Acrocephalus palustris,Alm
12510,Rørsanger,Acrocephalus scirpaceus,Alm
12530,Drosselrørsanger,Acrocephalus arundinaceus,SUB
12550,Bleg Gulbug,Iduna pallida,SU
12560,Lille Gulbug,Iduna caligata,SU
12590,Gulbug,Hippolais icterina,Alm
12600,Spottesanger,Hippolais polyglotta,SU
12610,Sardinsk Sanger,Curruca sarda,SU
12650,Rødstrubet Sanger/Iberisk Sanger/Makisanger,Curruca cantillans/iberiae/subalpina,Alm
12651,Rødstrubet Sanger (ssp. cantillans),Curruca cantillans cantillans,SU
12653,Rødstrubet Sanger (ssp. albistriata),Curruca cantillans albistriata,SU
12654,Rødstrubet Sanger,Curruca cantillans,SU
12655,Makisanger,Curruca subalpina,SU
12656,Iberisk Sanger,Curruca iberiae,SU
12670,Sorthovedet Sanger,Curruca melanocephala,SU
12690,Sortstrubet Sanger,Curruca ruppeli,SU
12700,Asiatisk Ørkensanger,Curruca nana,SU
12730,Høgesanger,Curruca nisoria,SUB
12739,Gærdesanger, Steppe (ssp. halimodendri),Curruca curruca halimodendri,SU
12740,Gærdesanger,Curruca curruca,Alm
12742,Gærdesanger, Sibirisk (ssp. blythi),Curruca curruca blythi,SU
12747,Gærdesanger, Sibirisk/Steppe (ssp. blythi/halimodendri),Curruca curruca blythi/C. C. halimodendri,SU
12750,Tornsanger,Curruca communis,Alm
12760,Havesanger,Sylvia borin,Alm
12770,Munk,Sylvia atricapilla,Alm
12910,Grøn Sanger,Phylloscopus nitidus,SU
12920,Østlig Lundsanger,Phylloscopus plumbeitarsus,SU
12930,Lundsanger,Phylloscopus trochiloides,SUB
12950,Nordsanger,Phylloscopus borealis,SU
12980,Fuglekongesanger,Phylloscopus proregulus,SUB
13000,Hvidbrynet Løvsanger,Phylloscopus inornatus,SUB
13005,Himalayasanger,Phylloscopus humei,SU
13010,Schwarz Løvsanger,Phylloscopus schwarzi,SU
13030,Brun Løvsanger,Phylloscopus fuscatus,SUB
13050,Sinkiangløvsanger,Phylloscopus griseolus,SU
13070,Bjergløvsanger,Phylloscopus bonelli,SU
13079,Bjergløvsanger/Balkanløvsanger,Phylloscopus bonelli/P. orientalis,Alm
13080,Skovsanger,Phylloscopus sibilatrix,Alm
13110,Gransanger,Phylloscopus collybita,Alm
13111,Gransanger, Sydlig (ssp. collybita),Phylloscopus collybita collybita,Alm
13113,Gransanger, Sibirisk (ssp. tristis),Phylloscopus collybita tristis,SUB
13114,Gransanger, Skandinavisk (ssp. abietinus),Phylloscopus collybita abietinus,Alm
13116,Iberisk Gransanger,Phylloscopus ibericus,SU
13119,Gransanger x Løvsanger (hybrid),Phylloscopus collybita x P. trochilus,Alm
13120,Løvsanger,Phylloscopus trochilus,Alm
13121,Løvsanger, Almindelig (ssp. trochilus),Phylloscopus trochilus trochilus,Alm
13122,Løvsanger, Nordlig (ssp. acredula),Phylloscopus trochilus acredula,Alm
13129,Phylloscopus sp.,Phylloscopus sp.,Alm
13140,Fuglekonge,Regulus regulus,Alm
13150,Rødtoppet Fuglekonge,Regulus ignicapilla,Alm
13168,Sanger sp.,Sylvidae,Alm
13350,Grå Fluesnapper,Muscicapa striata,Alm
13430,Lille Fluesnapper,Ficedula parva,SUB
13432,Tajgafluesnapper,Ficedula albicilla,SU
13480,Hvidhalset Fluesnapper,Ficedula albicollis,SUB
13489,Hvidhalset Fluesnapper x Broget Fluesnapper (hybrid),Ficedula albicollis x F. hypoleuca,Alm
13490,Broget Fluesnapper,Ficedula hypoleuca,Alm
13559,Fluesnapper sp.,Muscicapidae,Alm
13640,Skægmejse,Panurus biarmicus,Alm
14370,Halemejse,Aegithalos caudatus,Alm
14371,Halemejse, Nordlig (ssp. caudatus),Aegithalos caudatus caudatus,Alm
14374,Halemejse, Sydlig (ssp. europaeus),Aegithalos caudatus europaeus,Alm
14378,Nordlig Halemejse x Sydlig Halemejse (hybrid),Aegithalos c. caudatus x A. c. europaeus,Alm
14400,Sumpmejse,Poecile palustris,Alm
14409,Sumpmejse/Fyrremejse,Poecile palustris/P. montanus,Alm
14420,Fyrremejse,Poecile montanus,Alm
14423,Fyrremejse, Pilemejse (ssp. salicarius),Poecile montanus salicarius,Alm
14540,Topmejse,Lophophanes cristatus,Alm
14610,Sortmejse,Periparus ater,Alm
14620,Blåmejse,Cyanistes caeruleus,Alm
14640,Musvit,Parus major,Alm
14669,Mejse sp.,Parus/Poecile/etc. sp.,Alm
14790,Spætmejse,Sitta europaea,Alm
14791,Spætmejse, Lysbuget (ssp. europaea),Sitta europaea europaea,Alm
14793,Spætmejse, Mørkbuget (ssp. caesia),Sitta europaea caesia,Alm
14860,Træløber,Certhia familiaris,Alm
14861,Træløber, Nordlig (ssp. familiaris),Certhia familiaris familiaris,Alm
14863,Træløber, Sydlig (ssp. macrodactyla),Certhia familiaris macrodactyla,Alm
14869,Træløber/Korttået Træløber,Certhia familiaris/C. brachydactyla,Alm
14870,Korttået Træløber,Certhia brachydactyla,Alm
14900,Pungmejse,Remiz pendulinus,SUB
15080,Pirol,Oriolus oriolus,SUB
15130,Brun Tornskade,Lanius cristatus,SU
15140,Turkestantornskade,Lanius phoenicuroides,SU
15150,Rødrygget Tornskade,Lanius collurio,Alm
15170,Langhalet Tornskade,Lanius schach,SU
15190,Rosenbrystet Tornskade,Lanius minor,SU
15195,Stor Tornskade, Ørkentornskade (ssp. pallidirostris),Lanius excubitor pallidirostris,SU
15200,Stor Tornskade,Lanius excubitor,Alm
15230,Rødhovedet Tornskade,Lanius senator,SU
15249,Tornskade sp.,Lanius sp.,Alm
15390,Skovskade,Garrulus glandarius,Alm
15470,Iberisk Blåskade,Cyanopica cooki,Alm
15490,Husskade,Pica pica,Alm
15570,Nøddekrige,Nucifraga caryocatactes,SUB
15571,Nøddekrige, Tyknæbbet (ssp. caryocatactes),Nucifraga caryocatactes caryocatactes,SUB
15572,Nøddekrige, Tyndnæbbet (ssp. macrorhynchos),Nucifraga caryocatactes macrorhynchos,SUB
15600,Allike,Coloeus monedula,Alm
15601,Allike, Almindelig (ssp. monedula),Coloeus monedula monedula,Alm
15602,Allike, Halsbåndsallike (ssp. soemmerringii),Coloeus monedula soemmerringii,SU
15603,Allike, Vestlig (ssp. spermologus),Coloeus monedula spermologus,Alm
15630,Råge,Corvus frugilegus,Alm
15670,Krage,Corvus corone,Alm
15671,Krage, Sortkrage (ssp. corone),Corvus corone corone,Alm
15673,Krage, Gråkrage (ssp. cornix),Corvus corone cornix,Alm
15679,Sortkrage x Gråkrage (hybrid),Corvus c. corone x C. c. cornix,Alm
15700,Broget Krage,Corvus albus,SU
15720,Ravn,Corvus corax,Alm
15749,Kragefugl sp.,Corvidae,Alm
15820,Stær,Sturnus vulgaris,Alm
15830,Ensfarvet Stær,Sturnus unicolor,SU
15840,Rosenstær,Pastor roseus,SUB
15910,Gråspurv,Passer domesticus,Alm
15920,Spansk Spurv,Passer hispaniolensis,SU
15980,Skovspurv,Passer montanus,Alm
15988,Gråspurv/Skovspurv,Passer domesticus/P. montanus,Alm
15989,Gråspurv x Skovspurv (hybrid),Passer domesticus x P. montanus,Alm
16330,Rødøjet Vireo,Vireo olivaceus,SU
16360,Bogfinke,Fringilla coelebs,Alm
16380,Kvækerfinke,Fringilla montifringilla,Alm
16388,Bogfinke/Kvækerfinke,Fringilla coelebs/F. montifringilla,Alm
16389,Finke sp.,Fringillidae,Alm
16400,Gulirisk,Serinus serinus,SUB
16420,Kanariefugl,Serinus canaria,Alm
16490,Grønirisk,Chloris chloris,Alm
16500,Brunirisk,Chloris sinica,Alm
16530,Stillits,Carduelis carduelis,Alm
16540,Grønsisken,Spinus spinus,Alm
16600,Tornirisk,Linaria cannabina,Alm
16609,Tornirisk/Bjergirisk,Linaria cannabina/L. flavirostris,Alm
16620,Bjergirisk,Linaria flavirostris,Alm
16630,Gråsisken,Acanthis flammea,Alm
16634,Gråsisken, Nordlig (ssp. flammea),Acanthis flammea flammea,Alm
16635,Gråsisken, Lille (ssp. cabaret),Acanthis flammea cabaret,Alm
16640,Gråsisken, Hvidsisken (ssp. exilipes),Acanthis flammea exilipes,SUB
16649,Sisken sp.,Spinus/Acanthis sp.,Alm
16650,Hvidvinget Korsnæb,Loxia leucoptera,SUB
16660,Lille Korsnæb,Loxia curvirostra,Alm
16669,Lille Korsnæb/Stor Korsnæb,Loxia curvirostra/L. pytyopsittacus,Alm
16680,Stor Korsnæb,Loxia pytyopsittacus,SUB
16689,Korsnæb sp.,Loxia sp.,Alm
16740,Ørkenfinke,Rhodospiza obsoleta,Alm
16760,Ørkendompap,Bucanetes githagineus,SU
16790,Karmindompap,Carpodacus erythrinus,Alm
16890,Rosenfinke,Carpodacus roseus,Alm
16990,Krognæb,Pinicola enucleator,SU
17040,Langhalet Rosenfinke,Carpodacus sibiricus,SU
17100,Dompap,Pyrrhula pyrrhula,Alm
17101,Dompap, Stor (ssp. pyrrhula),Pyrrhula pyrrhula pyrrhula,Alm
17102,Dompap, Lille (ssp. europaea),Pyrrhula pyrrhula europaea,Alm
17170,Kernebider,Coccothraustes coccothraustes,Alm
17330,Gul Sanger,Setophaga aestiva,SU
17530,Stribet Sanger,Setophaga striata,SU
18390,Hvidkronet Spurv,Zonotrichia leucophrys,SU
18400,Hvidstrubet Spurv,Zonotrichia albicollis,SU
18470,Lapværling,Calcarius lapponicus,SUB
18479,Lapværling/Snespurv,Calcarius lapponicus/Plectrophenax nivalis,Alm
18500,Snespurv,Plectrophenax nivalis,Alm
18560,Hvidkindet Værling,Emberiza leucocephalos,SU
18570,Gulspurv,Emberiza citrinella,Alm
18580,Gærdeværling,Emberiza cirlus,SU
18600,Klippeværling,Emberiza cia,SU
18650,Gulgrå Værling,Emberiza cineracea,SU
18660,Hortulan,Emberiza hortulana,SUB
18670,Bjerghortulan,Emberiza buchanani,SU
18710,Gulbrynet Værling,Emberiza chrysophrys,SU
18730,Pileværling,Emberiza rustica,SU
18740,Dværgværling,Emberiza pusilla,SUB
18760,Gulbrystet Værling,Emberiza aureola,SU
18770,Rørspurv,Emberiza schoeniclus,Alm
18800,Brunhovedet Værling,Emberiza bruniceps,SU
18809,Brunhovedet Værling/Hætteværling,Emberiza bruniceps/E. melanocephala,Alm
18810,Hætteværling,Emberiza melanocephala,SU
18819,Værling sp.,Emberiza sp.,Alm
18820,Bomlærke,Emberiza calandra,Alm
18920,Indigofinke,Passerina cyanea,SU
19999,Småfugl sp. (Pibere, Finker, Spurve o.lign.),Passerinae,Alm
24997,Burfugl sp.,Cage bird sp.,Alm
24998,Hybrid sp.,Hybrid,Alm
25800,Chilepibeand,Mareca sibilatrix,Alm
26643,Sibirisk Vipstjert,Motacilla tschutschensis,SU
32450,Rødbrystet Svale,Cecropis semirufa,SU
33810,Rødvinget Sortstær,Onychognathus morio,Alm
34130,Afrikansk Skestork,Platalea alba,Alm
35670,Påfugl,Pavo cristatus,Alm
40000,Undulat,Melopsittacus undulatus,Alm
40010,Nymfeparakit,Nymphicus hollandicus,Alm
99999,Ny fugleart for landet,Aves sp.,Alm
