Artsid,Artsnavn,Latin,Kategori
01679,Bramgås x Rødhalset Gås (hybrid),Branta leucopsis x B. ruficollis,Alm
01680,Knortegås,Branta bernicla,Alm
01681,Knortegås, Mørkbuget (ssp. bernicla),Branta bernicla bernicla,Alm
01682,Knortegås, Lysbuget (ssp. hrota),Branta bernicla hrota,Alm
01683,Knortegås, Sortbuget (ssp. nigricans),Branta bernicla nigricans,SUB
01688,Knortegås, Mørkbuget x Sortbuget (hybrid),Branta bernicla bernicla x B. b. nigricans,Alm
01690,Rødhalset Gås,Branta ruficollis,SUB
01695,Magellangås,Chloephaga picta,Alm
01699,Rajgås sp.,Branta sp.,Alm
01700,Nilgås,Alopochen aegyptiaca,Alm
01709,Gås sp.,Anser/Branta sp.,Alm
01710,Rustand,Tadorna ferruginea,Alm
01714,Rustand x Gravand (hybrid),Tadorna ferruginea x T. tadorna,Alm
01730,Gravand,Tadorna tadorna,Alm
01750,Moskusand,Cairina moschata,Alm
01770,Brudeand,Aix sponsa,Alm
01780,Mandarinand,Aix galericulata,Alm
01790,Pibeand,Mareca penelope,Alm
01793,Pibeand x Krikand (hybrid),Mareca penelope x Anas crecca,Alm
01794,Pibeand x Gråand (hybrid),Mareca penelope x Anas platyrhynchos,Alm
01797,Pibeand x Knarand (hybrid),Mareca penelope x M. strepera,Alm
01798,Pibeand x Chilepibeand (hybrid),Mareca penelope x M. sibilatrix,Alm
01799,Pibeand/Spidsand,Mareca penelope/Anas acuta,Alm
01800,Amerikansk Pibeand,Mareca americana,SU
01808,Amerikansk Pibeand x Pibeand (hybrid),Mareca americana x M. penelope,Alm
01810,Segland,Mareca falcata,Alm
01820,Knarand,Mareca strepera,Alm
01830,Sibirisk Krikand,Sibirionetta formosa,SU
01840,Krikand,Anas crecca,Alm
01843,Krikand x Gråand (hybrid),Anas crecca x A. platyrhynchos,Alm
01844,Krikand x Amerikansk Krikand (hybrid),Anas crecca x A. carolinensis,Alm
01845,Krikand, Amerikansk (ssp. carolinensis),Anas crecca carolinensis,SUB
01860,Gråand,Anas platyrhynchos,Alm
01866,Gråand x Moskusand (hybrid),Anas platyrhynchos x Cairina moschata,Alm
01867,Gråand x Ederfugl (hybrid),Anas platyrhynchos x Somateria mollissima,Alm
01868,Gråand x Troldand (hybrid),Anas platyrhynchos x Aythya fuligula,Alm
01869,Gråand x svømmeand sp. (hybrid),Anas platyrhynchos x Mareca/Anas/Spatula sp.,Alm
01870,Sortbrun And,Anas rubripes,SU
01890,Spidsand,Anas acuta,Alm
01893,Spidsand x Pibeand (hybrid),Anas acuta x Mareca penelope,Alm
01894,Spidsand x Gråand (hybrid),Anas acuta x A. platyrhynchos,Alm
